,filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,72_Nói Với Em Rằng... - Bùi Anh Tuấn _Official Audio_,0.2396063,0.088225976,0.10061858,0.0070341732,1574.4449903247742,544040.0652955533,2224.8144671434925,284067.59336798725,3264.3844273806358,4682792.177265243,0.05638930376838235,0.0019001253471633295,-4.712931e-05,0.01439635,-6.113597e-05,0.0007775114,129.19921875,-237.34486,7364.5645,121.020584,791.3531,38.28146,366.9813,9.555941,252.32063,1.6681689,383.8757,-1.1193793,152.5703,-11.551304,182.59743,5.3035827,109.742516,-22.618608,194.09984,6.061181,165.51364,2.693643,89.3674,-1.7734379,91.57572,-3.9829419,81.37419,2.8265886,70.23628,-3.0943255,78.88146,1.2682921,89.41881,0.11858271,68.82736,-1.935302,71.6939,3.2875047,96.955734,-7.8288445,94.2839,ballad
1,96_Yêu Thương Ngày Đó - SOOBIN Hoàng Sơn,0.2798103,0.08635605,0.10801109,0.0025978484,1669.8629774423669,532744.2208493839,2079.8015804101838,222307.0773168126,3352.6172271822998,2717726.7711893213,0.06961862664473684,0.002180899434666962,-3.1656116e-05,0.009453348,-0.00042454095,0.0018646241,129.19921875,-171.84943,8093.2485,123.274536,1159.0115,8.683622,275.5328,21.727726,235.5618,5.2738967,175.038,-8.237742,132.0952,-8.783938,110.67682,2.5056443,103.76749,-16.012613,160.36327,7.682691,156.88606,-5.8380365,88.492096,-4.648881,139.9028,-3.8362947,89.838715,-0.5451867,65.18393,-3.8831885,80.48153,-0.78978366,78.416466,-7.48434,75.54913,-0.14923568,72.97234,-2.3384178,85.45246,-6.283576,138.78926,ballad
2,25_Chẳng Ai Đến Thế Giới Này Để Cô Đơn,0.22487031,0.0860932,0.19552603,0.015494875,1049.548392446664,463953.7463442686,1336.162599304789,863011.108564041,1946.6673954352507,3174116.8807433043,0.04783266616679566,0.0006439200615763811,-0.0030139852,0.04744679,-0.0006118176,0.0016508352,107.666015625,-222.84438,10984.051,154.28125,1661.761,30.783566,635.5481,-4.2359743,498.72717,3.9373915,275.33542,-8.544175,145.62645,-14.567935,251.9728,-1.3043265,243.22966,-9.961115,152.94629,-3.659227,94.41965,-8.096206,134.24606,-12.144905,140.03183,-15.492009,179.1455,-3.5047538,96.97684,-6.317292,69.703125,-5.146345,94.493965,-7.304261,74.785904,-3.8136182,79.66525,-5.267002,96.95366,-6.046769,102.85936,ballad
3,41_Chua Bao Gio,0.22409862,0.086295396,0.08573122,0.002402824,1406.810671896792,342871.2301295092,1680.3249648779179,201474.808182735,2688.171244996251,1763408.980121349,0.06147525185032895,0.0012313372796835097,5.0757603e-06,0.008519529,1.2561758e-06,0.00040738517,143.5546875,-233.83073,5543.706,131.30595,1043.5714,-8.199691,637.52167,16.766405,237.46826,-1.2970065,288.95602,-1.5921615,255.3778,-8.626647,218.08405,-2.298494,134.7113,-12.236312,198.5117,1.9348632,128.43997,-6.700083,120.82629,-8.125278,111.587906,-8.47942,118.20932,-3.9586828,112.102745,-8.585778,95.210686,-7.1927223,117.04742,-4.9869065,123.56122,-1.3112861,115.603424,-7.0309567,127.13614,-1.0719633,175.93108,ballad
4,5_Khoc Cung Em,0.3143062,0.090719625,0.2611032,0.006896348,2669.4341266191464,708916.48068248,2746.789622520263,194569.1020274458,6044.8759474621465,3190636.9140094942,0.11169282423084366,0.004293489057142317,1.2032965e-05,0.039747592,-4.5119596e-05,0.017158724,107.666015625,-26.287027,3388.3354,80.6732,1075.6018,-1.2932855,561.15546,5.8718123,437.68533,10.228554,399.35278,-2.689834,219.1911,-14.577371,169.14572,3.1834698,150.92316,-9.481996,159.74617,1.797748,125.07445,-4.5449533,88.89563,-5.022659,115.18116,-9.2926655,65.95818,-0.44577163,84.36956,-3.9175212,85.18911,4.9132714,75.235054,1.6174846,103.62031,5.682794,105.249954,-1.5783054,88.72788,-0.1398546,81.884926,ballad
5,56_Những Ngày Vắng Em,0.26779673,0.09182618,0.20389512,0.0068556275,1367.2587594525457,545040.8841162942,2058.8704400710235,282252.2090926451,2708.079457947344,3106750.3211529506,0.04035916638448142,0.0013506218246402682,-1.7496876e-06,0.042074922,-4.010725e-05,0.001864706,92.28515625,-175.64688,3400.7996,116.57616,1011.49255,22.802141,201.65804,27.512257,279.45587,21.846003,224.86174,3.2088017,147.43723,-4.5344563,127.982414,-0.24963742,126.95317,-23.881092,108.90243,-8.301712,106.37374,-16.20573,89.19964,-4.6245456,87.28368,-16.595407,74.465454,-12.862716,81.59234,-12.17152,63.463043,-4.6701746,99.045586,-10.142851,93.79266,-5.6107106,81.58716,-8.486363,80.7369,-7.262911,77.767624,ballad
6,47_Trai Dat Tron Khong Gi La Khong The,0.26846498,0.090696394,0.093719244,0.0031094935,1391.3527686001805,578385.4587714453,1817.5164429694219,460085.23220804613,2733.254305718484,3280181.326775037,0.04971360717395511,0.0012249677258131368,1.6474898e-05,0.0096552,-6.607535e-05,0.00093627174,107.666015625,-244.7239,9963.038,118.25832,1249.2769,15.593856,741.89856,24.79722,431.70145,9.39434,319.00064,0.9352967,320.97476,-6.2889886,119.65337,-1.8737895,223.70068,-13.718926,152.05345,-6.5835824,129.63959,-12.377401,158.61801,-9.878206,161.61746,-9.000567,112.69703,-3.3812487,102.11461,-4.581094,120.76381,-5.84347,133.64493,-8.187862,98.4009,-5.292177,130.47894,-3.938345,119.587296,-4.67425,112.14804,ballad
7,1_Một Bước Yêu_ Vạn Dặm Đau,0.2529603,0.08850252,0.2076234,0.0064231604,1512.967234854172,669119.5103753617,2118.2461967194745,487922.12493398896,3175.347465774961,4999556.394605694,0.05159965019107972,0.0018064743116143638,-0.0064614476,0.041246925,-0.0022367064,0.0026596924,135.99917763157896,-154.93047,6560.9946,130.78174,1333.5723,22.669024,288.08505,5.6521673,573.9821,18.182236,261.1804,-5.977858,162.0138,-20.598143,329.3274,5.086492,151.22356,-10.318554,155.1741,-6.46569,226.82738,-7.131071,118.80448,-11.922549,152.52977,-16.844805,175.64496,-0.5972224,90.477425,-9.065218,97.62463,-1.8650596,87.918976,-6.783427,65.28388,-3.2305987,118.46819,-2.6834111,73.98789,-4.124457,89.01558,ballad
8,37_Anh Tự Do Nhưng Cô Đơn,0.23232764,0.08889008,0.08098651,0.0015104973,1881.7740355845672,786122.4086711722,2241.5592106061217,283936.3666803077,4005.5674455483263,3594721.7084405865,0.06794101018285603,0.0035974489480094496,3.9846375e-07,0.0067140614,-1.9840692e-05,0.00034992048,143.5546875,-217.36368,6073.1675,103.120865,1211.6625,10.951188,435.5129,28.510141,253.56738,3.1713088,223.69101,-1.8331172,149.46693,-5.776574,127.52963,-7.794976,114.46147,-12.778843,136.97308,6.921231,171.94894,-12.89805,72.53501,-4.721898,89.144615,-13.619485,79.88011,-2.6851985,89.2833,-11.9427595,76.006355,-9.594152,80.16157,-6.6857524,113.15515,-2.1488302,93.35872,-5.9808583,117.59937,-0.904228,139.12357,ballad
9,39_Trung Quân _ Người Đang Yêu,0.25858766,0.08970912,0.06862257,0.0008340692,1379.973293206933,436998.90511346556,1954.0936512300252,264523.7309020292,2700.0211733413553,2508497.171006951,0.046554329225522446,0.0012061242092903939,7.5290194e-07,0.0044692447,-4.6068615e-07,0.0002732668,184.5703125,-254.84549,3829.7666,127.53246,941.6214,13.810151,298.39313,21.16035,272.44547,8.167565,278.29916,0.17442034,174.59924,2.5355077,130.2207,-4.2441034,82.660446,-12.5741415,104.220215,5.2423735,129.87048,-18.006092,78.91228,-6.521678,64.85683,-12.998364,64.35792,-4.4417553,74.85274,-12.481448,68.44326,-12.319463,61.768738,-12.233488,60.120926,-4.3848724,82.17892,-8.543085,136.56003,0.33880696,165.94028,ballad
