,filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,33_Ai Khổ Vì Ai - Lưu Ánh Loan,0.26102746,0.08955328,0.26440606,0.0049329503,2024.3974473489961,553442.5003958473,2421.231923177691,214467.68881127145,4413.631644706608,2869350.147301182,0.08278993777815402,0.0029033323303864116,-7.989293e-06,0.055182185,0.00012770754,0.0076033045,151.99908088235293,-62.417244,1423.0488,102.20279,658.2879,11.955556,322.58026,20.82422,288.7023,2.6122916,194.04857,4.5100975,206.77083,4.1703277,132.4979,-1.3709798,142.51343,-4.0983896,125.71633,9.448014,152.0116,-9.42846,127.78152,3.7832289,114.29414,-6.5769453,107.88505,2.2309968,82.65631,-5.653324,105.34445,-1.0521783,133.31137,-3.712713,149.26108,3.378885,168.03612,-3.8921466,131.44601,4.784389,181.21132,bolero
1,56_Thuong Mai Mot Nguoi,0.23867871,0.0877965,0.16224787,0.0010785328,2018.6134927879655,673898.9810039536,2441.982583032316,205247.69270428654,4516.197691170424,3308737.8267840785,0.07506020371758901,0.00313200477822164,-0.00024177763,0.021222176,-0.00037500449,0.0022530968,151.99908088235293,-132.55238,1747.3007,95.3582,1149.6327,23.12008,496.1478,26.091677,354.8684,6.4409,388.8286,7.325147,289.56586,4.2814775,132.49794,8.313607,201.01604,-13.066208,224.02225,7.7903414,220.3053,-4.195349,165.93889,-1.5945442,140.73721,2.002522,192.48294,-1.6878142,154.51775,-5.5038166,141.95447,3.4645698,128.23698,-11.003698,118.84578,-1.3829981,117.16203,1.2369326,149.72874,2.0162203,198.02669,bolero
2,4_Hoa Trinh Nữ - Phương Anh Bolero _ Official MV,0.24554975,0.08966458,0.2134184,0.0053987456,2012.3070078804194,556502.1737055167,2395.316733181573,204019.20242949468,4267.261696452327,2913873.0077932337,0.07876256228231424,0.002371483586819197,-4.9801696e-05,0.037466466,-0.00035056143,0.004899011,89.10290948275862,-104.8138,2225.0378,101.254875,820.15643,10.243559,494.53067,16.541683,447.6408,1.7324502,312.51785,-6.689603,384.32446,2.1494675,222.47136,-7.0472198,217.21437,-5.7440176,160.78639,6.1786723,226.7456,-19.804764,248.70175,5.1656303,127.986404,-12.577895,169.5386,-3.1001487,144.88144,-3.7072308,174.16112,1.6578357,182.42015,-0.5302986,191.35094,2.6700337,239.98085,-3.5231473,154.18286,2.7120852,168.71014,bolero
3,42_Chuyen Do Khong Em,0.22373638,0.088865474,0.28013894,0.003596883,1700.581862639701,454712.53071726474,2285.2439016950893,272368.7726168648,3809.0269673350426,3391905.6565970606,0.05634149604537539,0.0010752883884481573,-9.187596e-07,0.06851804,-4.726931e-06,0.004209025,80.74951171875,-104.464516,1870.2076,104.121315,862.62006,23.772741,336.428,36.609486,400.83087,11.162309,340.12695,6.7289124,228.0496,3.4743528,274.92722,4.408419,195.5599,5.234564,170.26447,1.2282425,140.14458,-6.3614883,105.90272,3.060536,117.81042,-5.831946,111.10466,-3.7955334,97.66681,-5.193729,113.20501,4.136512,162.9969,-2.4265654,216.12292,7.25966,244.79424,-0.30153182,210.02837,-2.5780337,190.84491,bolero
4,68_Cỏ úa,0.23968166,0.090363815,0.27230036,0.0067138067,1632.058855505588,537602.0062255664,2152.7796362881536,291801.7860724925,3537.7244411976344,3464792.2020515422,0.0574454198311726,0.0019517778272425009,1.4879643e-06,0.067967996,2.1794547e-05,0.0035987948,117.45383522727273,-97.19385,2208.6226,118.713745,1017.7991,15.699924,315.90598,18.246258,396.40695,-0.91229624,230.3643,3.771365,132.58833,-7.4903502,146.40422,2.0838554,205.62115,-16.756718,176.6687,0.21471743,132.4093,-10.41046,139.24619,-5.010579,103.97118,-7.6602015,118.89747,-5.5770726,93.676575,-10.557751,118.44501,-0.45475253,99.15848,-2.9859602,101.0301,0.5225579,108.28935,-3.4508898,120.39752,1.7251248,123.56688,bolero
5,81_Nối Lại Tình Xưa - Lệ Quyên _ Quang Lê _ Song Ca Bolero Trữ Tình Hay Nhất _ _Vinh Sử_ Ngân Giang_,0.2710192,0.08821091,0.16799407,0.0024520368,1906.649086596595,392215.1466493209,2220.0231451600944,206580.60166651927,3879.755706314701,2420754.815058871,0.08173911268866099,0.0012783032667256491,-1.0897363e-05,0.020245217,-0.00020640947,0.004272004,151.99908088235293,-98.86522,1984.7216,110.094284,802.3271,-4.7106104,419.5678,15.65764,251.72205,7.099161,232.82198,1.615276,136.8222,-0.0094093345,154.6612,9.902626,154.00153,-4.4292717,122.446594,4.9814863,121.57918,-8.293841,128.97557,2.2574553,92.518745,-5.6191936,74.386475,0.9043175,96.531654,-0.5047449,111.979935,4.3238735,122.337585,-3.7590892,80.69046,1.37886,100.30003,-3.5344148,108.46679,1.4427375,106.391785,bolero
6,19_Không bao giờ quên anh,0.23915829,0.09027555,0.25706956,0.005303383,1847.6819013335278,445904.3762705025,2268.990139473589,192033.58685267754,3911.005517351369,2473313.741229233,0.06942210477941177,0.0018748404375735232,5.8867727e-06,0.05473799,0.00012811646,0.006446942,151.99908088235293,-78.41088,1553.5269,107.64307,764.27844,7.237571,336.75555,20.051191,296.7826,-1.3243084,222.14604,4.156441,183.56224,6.3598685,130.40187,-3.7580185,135.36317,-3.6445603,142.48285,5.0094447,153.53575,-14.978265,115.63222,1.2761309,99.40388,-6.630947,86.131516,4.4520464,74.72817,-4.1118574,94.48042,1.3343345,116.61645,-1.8434494,105.98008,4.3459735,118.69246,-8.155104,120.36547,1.5950301,116.70745,bolero
7,64_Về Đi Anh Ơi,0.23539878,0.093402825,0.1025282,0.006811412,1417.7714684419514,1053712.8293840012,1675.6898296700142,596693.288251747,2674.775492665199,4296840.554959475,0.07271006675696594,0.007013186689711082,1.063442e-05,0.01160898,8.944313e-06,0.0027978607,151.99908088235293,-243.76195,13128.901,106.08575,1622.1499,9.779741,700.99414,18.267122,349.7734,7.2059407,155.64865,-1.4106914,186.26038,-4.431126,120.81618,-3.6536405,186.764,-2.2893388,164.35101,-2.6674159,223.88835,-12.093603,118.33121,-6.3591256,112.403625,-5.467121,128.13539,3.176832,102.64484,-3.5337768,102.482124,0.56722796,75.74248,-0.28270015,95.09815,-2.7902753,93.563576,-4.678635,91.413025,-3.9378107,112.614334,bolero
8,60_Tựa Cánh Bèo Trôi - Phương Anh _Thần Tượng Bolero_ _MV Official_,0.2293398,0.08748631,0.23604293,0.0035488398,1985.947380026909,481864.2072783207,2283.6087910316896,161119.80349972297,4165.099814211252,1938685.8397569198,0.0812761525251548,0.0022449115506676864,-5.5612895e-06,0.04535136,-5.1455503e-05,0.0047401087,123.046875,-77.70434,1820.0538,97.85636,789.03357,6.003364,341.44373,32.92297,312.604,2.7310166,220.58572,1.556838,183.95277,2.297652,149.77444,-1.7775185,118.80891,-8.529765,135.33968,7.078692,168.02112,-11.0452175,166.60109,3.4581,110.35956,-9.564102,92.98316,2.0746756,89.01383,0.0026149692,111.93014,0.30857277,169.81241,-2.7370727,135.80734,3.4001768,151.02917,0.32006773,159.75987,4.471778,198.14302,bolero
9,91_Đêm lang thang,0.25069728,0.089556225,0.07595042,0.00064557267,1319.0695856986163,338962.4160684628,1751.1946424294247,221161.0822577404,2468.5850728037926,1784121.5407570223,0.05268108734036378,0.0008599152159449304,-1.1809599e-06,0.0052782223,-3.4747045e-06,0.00033520875,161.4990234375,-237.01529,2521.1711,136.10672,848.58514,-4.058886,295.45132,19.954184,408.1531,-0.6499594,210.21169,-4.208889,125.800285,-8.196571,120.01546,-3.6638217,89.08739,-21.180796,190.62772,-5.2782726,94.193695,-10.865771,106.267715,-7.7021747,109.07546,-12.088071,79.49565,-8.585653,53.688263,-10.841489,71.53433,-5.542811,58.514404,-11.443452,74.16445,-8.2581,70.91819,-9.916888,104.43692,-3.8645012,78.333435,bolero
