,filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,100_CHỦ ĐỀ 6_ CHỈ CÓ MỘT TRÊN ĐỜI  -  ÂM NHẠC LỚP 6  - KẾT NỐI TRI THỨC,0.28653035,0.08510401,0.24989791,0.0068209195,2121.2884488695177,438355.4821148989,2346.870959880199,171561.63666619107,4433.044027322586,2021789.507134061,0.09943571769785217,0.0017494786410792822,3.3946804e-07,0.0486276,0.0001140775,0.0069362298,135.99917763157896,-55.706516,2240.1692,96.0082,796.44763,2.186848,276.94778,21.625877,249.78023,0.2498638,187.11629,14.258234,169.55794,13.002772,181.89642,-3.959966,134.60043,-1.0628104,116.46759,6.871426,116.22749,-12.282952,116.829185,2.56376,115.20801,-7.6088414,82.66402,-0.47549874,99.483795,-7.573936,112.36469,0.34462622,126.84815,-8.090921,126.04415,3.0893104,140.57004,-4.756593,160.7384,0.7971692,192.13394,kid
1,7_Em Đi Qua Ngã Tư Đường Phố - Nhạc Thiếu Nhi Hoạt Hình Vui Nhộn,0.29213005,0.08425556,0.18135975,0.0061024986,2410.242697213251,400994.81007852143,2423.014143883746,242800.57559470233,5180.647839997944,2373027.3344859295,0.12061264935661764,0.0014275537040189757,-3.0681957e-05,0.024827024,-0.00021255159,0.0058005205,117.45383522727273,-66.09511,2356.8213,87.37581,710.48956,-1.0703927,561.2898,30.062496,351.93024,-3.7898483,219.49158,11.644573,145.33124,-5.5741143,103.61113,1.7584451,152.98451,-4.9001637,106.20203,3.044827,181.32735,-9.557467,88.83179,-4.275488,113.297844,-10.594823,86.30791,-3.0095885,85.05549,-1.63691,128.39793,2.9994922,118.0879,-2.894935,96.79465,2.252696,105.28514,-3.0013943,104.380615,-0.16398054,141.25787,kid
2,98_Ngay Dau Tien Di Hoc,0.2784783,0.08509532,0.2342371,0.004162073,2641.895649323029,238127.91050232775,2397.183358476257,92148.04285771257,5158.831305252878,810496.3337265563,0.13667415465363777,0.002207661971018081,-0.0017753603,0.037528947,0.0008756554,0.011232862,123.046875,-43.915833,1552.4003,67.4896,490.07846,-5.2505293,431.15714,39.841816,323.098,-14.438844,263.24777,-0.12688124,202.93832,-5.9233637,154.54903,-2.7839847,157.46414,-1.122288,111.20719,-10.803392,127.53638,-8.249518,102.34594,-2.5795276,144.37154,-5.527188,125.541664,-0.8694358,151.37004,-2.1817577,121.71241,-6.2210584,156.55046,-1.2175813,199.89275,1.100306,182.53865,-0.9858725,197.20752,9.065477,152.9419,kid
3,93_Cả nhà thương nhau,0.27701697,0.088383526,0.23742114,0.008664968,2178.145084254666,394263.63722151046,2390.062987274687,215968.0761783682,4713.243628713464,2541092.050642231,0.09489524998502635,0.0014672743074289748,-5.492357e-05,0.042831756,-0.0011057797,0.010279573,123.046875,-73.91779,3155.9229,89.681694,734.60156,3.4493675,394.67682,32.68886,179.9746,6.4662275,120.768745,6.074136,165.57675,0.5044806,153.48625,5.947811,126.14247,1.7452946,123.94316,3.486168,124.98691,-6.987308,80.720535,6.4218416,90.7913,-2.070841,77.85976,5.166013,119.774315,1.3134333,107.7559,2.5184257,93.57723,-4.421379,123.73941,2.743545,131.81319,1.2663077,128.20015,7.4863787,134.65921,kid
4,13_Chú Bộ Đội _ Cao Lê Hà Trang _ Nhạc thiếu nhi 2020 _ Nhạc Thiếu Nhi Hay_ Ý Nghĩa Nhất Cho Bé Yêu,0.33291724,0.0881507,0.24923828,0.0040021334,2037.6994249314087,428836.0981252472,2372.5289230213116,338177.62125360547,4581.613962273848,3544359.9508370776,0.07250485257836688,0.0008964315046088699,0.004127339,0.042149823,0.0013956901,0.01006228,129.19921875,-60.26092,1727.3022,103.90207,944.7697,1.603412,698.63873,16.637571,206.24161,-0.08983848,209.21645,16.890207,146.08469,1.2255301,91.88742,5.7549434,92.6751,2.840214,93.60796,7.405316,81.83546,-1.5614676,65.76267,5.433223,54.41647,-3.8640332,51.074795,2.900913,55.72733,-3.3054411,66.92325,6.6334414,87.83284,1.3155094,99.83997,4.2622886,69.863365,0.56974155,91.133125,3.02394,109.66677,kid
5,97_CHÚ CUỘI CHỊ HẰNG _ MV Hoạt Hình _ Ca Nhạc Thiếu Nhi Hay Cho Bé,0.23280576,0.08914811,0.14167993,0.0021937785,1902.3039690551634,176637.80039154697,1982.6698439468048,100609.228871291,3641.7613121009094,894074.5169969595,0.1087262888810952,0.0010513615361164765,1.67948e-06,0.01820655,3.612746e-07,0.0014565082,112.34714673913044,-158.3081,3017.422,103.83067,546.2846,-17.058598,263.02048,17.878864,269.67047,-7.033105,367.10373,2.7453284,352.06512,6.148943,255.47243,-26.947628,366.15894,-7.900503,355.00238,-9.979535,162.61018,-17.793161,328.05176,1.293087,157.26436,-22.403692,245.21295,-4.6001024,228.12285,-21.896826,230.23363,-4.7329783,158.26758,-8.409626,152.81108,-0.24621795,176.09695,-0.33553916,258.02087,-2.5798504,172.36745,kid
6,52_Bé tập đánh răng,0.3204768,0.0834558,0.24557407,0.001896295,2322.2816392358113,353859.3235131392,2384.394034590295,167278.96863187407,4916.778602245791,1527317.792800118,0.10822062300454721,0.002157080498420272,-1.3439013e-05,0.038707245,-0.00034961212,0.009393931,117.45383522727273,-36.848755,1409.7915,85.63543,637.95557,1.2425394,329.2431,45.194786,273.82584,-0.16719297,97.01246,9.337304,98.15145,2.878526,72.60264,0.2128266,56.46338,1.5214313,90.4155,5.553268,77.05088,-0.22371948,56.876057,7.008405,62.370865,-4.10632,62.462734,-0.8376878,69.182915,-5.4212866,63.24511,3.1397245,70.072464,-2.0145469,62.5925,2.2093897,84.98706,1.3003007,116.334656,4.3911896,128.75171,kid
7,77_Xúc Xắc Xúc Xẻ,0.35170373,0.09483537,0.19673508,0.0060030064,2584.269971150452,664218.4177398881,2588.05836540137,150511.75844993858,5687.673940747146,2248197.7774262507,0.12094446896768576,0.006310574454348912,0.00025642937,0.019234836,-0.00041535115,0.013889751,143.5546875,-62.509277,3634.0317,81.21967,810.3937,2.2113068,641.9605,15.563345,324.62793,-8.689696,260.56894,13.515152,147.01204,-11.800331,140.527,8.329691,103.47867,-11.398251,145.25885,6.9733562,121.64178,-10.250377,65.32823,1.7734921,65.80025,-8.181523,67.33456,0.9890137,82.97184,-5.8239474,57.28838,-1.70304,72.73363,-6.56972,74.89841,3.0290022,67.636375,-6.1087275,64.32007,3.2904446,68.99792,kid
8,56_Niềm Vui Của Em _ Candy Ngọc Hà _ Nhạc Thiếu Nhi Vui Nhộn,0.25244427,0.08403612,0.22917019,0.0041047353,2530.154356589759,437306.1597641459,2728.400101524607,232047.87668708316,5733.486163726901,3257344.7422608323,0.10392435268720976,0.0016383573374402903,-1.4089204e-06,0.043619268,5.9675625e-05,0.0058178417,161.4990234375,-77.78592,1633.7646,77.221596,583.5149,12.18077,581.95844,6.4494734,432.51074,-4.289577,188.58434,0.99446386,348.60406,8.340949,259.9255,0.3875211,278.8647,0.27660432,244.35176,9.252513,150.984,-6.27471,172.3288,11.104726,130.62407,-1.0577245,125.13292,8.08193,168.46283,4.2964153,198.18625,9.383474,163.86856,3.9779034,144.70549,4.7047944,138.67073,2.170012,180.37495,7.5878606,132.94696,kid
9,38_Công Chúa Bong Bóng,0.23953487,0.08476672,0.13439636,0.0028921003,2048.5766421087906,458845.68373904936,2135.7635991762913,227885.70521744053,4247.8659804022345,2458067.9076399803,0.10436085798422988,0.0020924858329853806,-5.4291937e-05,0.013871372,-3.6088146e-05,0.0034828053,107.666015625,-132.2061,3121.8726,102.4313,1148.6293,-13.473743,384.9775,21.08272,309.85617,-3.0011244,197.18118,7.6874123,194.58492,-1.6555338,154.75288,-2.5185385,217.26752,-0.07606331,201.40663,-1.8134326,195.98161,-5.1445312,177.58717,3.6681018,165.80325,-3.4602075,172.42523,6.440487,174.72375,-3.266335,144.50757,2.3662698,139.85602,-3.521295,128.88875,0.9643498,115.694115,0.009270777,133.27556,0.2561429,171.95103,kid
