index,filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,84_16 Typh_ 16 BrT_ Lil Wuyn_ R.I.C - SUNDAY HIPHOP CYPHER _Official MV_,0.4189624,0.085315034,0.29792646,0.008079298,2100.2921395444005,742418.4167820934,2261.502452930238,304688.4113188756,4411.41499144374,3341095.262683142,0.07256286432130418,0.00258895519000619,-0.00026130342,0.066122964,-0.0015279233,0.01755076,103.359375,-55.20474,5464.823,97.10334,1535.7218,-5.779023,1022.2976,33.47366,492.28613,5.7684255,445.47455,0.53637046,303.3381,3.3846476,193.41127,10.481189,162.70857,-6.1927958,164.46825,5.595662,161.50172,-7.083199,155.86835,0.7506206,118.198746,-0.5732643,123.01028,8.761192,112.39411,5.4587903,106.34154,4.672321,88.21675,-3.9102542,107.1181,0.7468039,73.17745,1.5925916,64.67231,2.9905431,65.10259,hiphop
1,81_Gill - Mắt Xanh ft. _tlinhofficial _Prod. by Kewtiie_ _ Official Music Video,0.39845124,0.087610826,0.28630435,0.009917226,2214.675377524162,938365.9678396421,2642.995037451339,405334.8721934865,5137.4022681646675,5455803.41852901,0.07324502194998066,0.0034848838133824584,-1.6230735e-05,0.054895308,-0.00023992537,0.020772204,103.359375,-69.2705,4281.773,97.01515,1397.1775,20.444838,831.17523,20.365545,505.6664,14.2656765,444.63995,1.5319802,299.46625,7.1039495,246.49995,5.763133,213.96802,-1.0606184,305.13965,8.455582,189.90804,-7.0950274,145.49321,4.776845,135.6082,0.28209817,141.35823,1.3572358,127.543175,2.5227575,88.422035,2.369525,90.282616,-7.0288033,88.389565,7.193667,102.760544,0.9134673,128.31918,1.9647379,92.49415,hiphop
2,63_SỢ QUÁ CƠ,0.51360595,0.08197367,0.34135094,0.010333485,2142.587832919918,641304.7311896646,2466.0321686750062,262524.04633379716,4669.875928565813,3561014.1051722104,0.072025830531637,0.0022287012433930666,7.377897e-06,0.069615506,-0.0005152124,0.026795987,129.19921875,-37.17799,6782.6855,90.64874,1346.8666,2.402747,564.3229,31.026407,332.90475,9.863584,207.81589,5.5053954,230.15186,8.033558,130.18222,3.695434,141.0246,5.1513147,96.57587,5.895872,103.645195,1.7832516,72.23838,8.645055,73.99441,-0.18338364,79.624954,9.0250845,93.044334,0.8049625,63.26091,2.5851977,64.115456,1.3010604,58.33051,4.662517,61.38502,-1.4207817,78.60921,4.8377028,84.45409,hiphop
3,100_B.S.N.L 1 _ B RAY x YOUNG H _ Official Lyrics Video,0.50755626,0.08895866,0.20075658,0.021032091,2418.1215910377055,1486403.3532731729,2587.0031281503243,305548.4517044456,5192.406102230674,5194534.388931802,0.10072331384239551,0.012986240599261838,-3.98893e-05,0.032862026,0.00030062796,0.018639507,129.19921875,-130.45453,5020.475,87.402916,1877.214,15.816562,983.9337,8.695414,372.15225,0.9000065,319.75217,7.5943494,469.29623,0.1908782,205.38956,4.230943,202.45233,-11.098365,182.17134,8.430844,130.22829,-4.807447,138.13306,7.8373156,178.22496,-4.4514847,107.157074,-4.0109196,145.65855,-5.579314,87.649506,1.0455456,77.661934,-0.0056370595,87.862404,5.974636,89.306915,-3.040749,87.70381,4.907963,75.402596,hiphop
4,92_GO CRAZY,0.3454054,0.096088484,0.16072167,0.007982078,2006.3405849292042,1108483.0723788626,2025.3311452631149,532810.7099011469,3976.217623022688,4960916.522115486,0.08613647838864164,0.0033429342429288993,8.086824e-05,0.020384852,-0.0021939937,0.0069976025,95.703125,-139.09204,7318.992,106.03222,2465.7659,-15.146945,1181.1293,16.67859,709.7712,-3.7467675,346.57336,-7.1006804,344.8426,-7.0851483,433.00415,0.9551178,398.40817,-3.267072,271.93417,-0.33882487,331.7094,-14.049046,178.92215,-2.6805778,227.04416,-6.664497,148.50943,-4.903478,133.1533,-9.189037,169.50826,-5.096668,110.72671,-3.6748421,103.49153,4.3112106,126.74936,-6.3386364,150.10867,-4.9736943,253.32118,hiphop
5,42_NHƯ NÀO CŨNG ĐƯỢC,0.51393217,0.072621875,0.1388771,0.004460428,2089.9648435884997,890219.5666061254,2360.921910445426,302511.6514863753,4457.352213667642,3922805.457670026,0.09242139881240326,0.003964530962460404,0.038791418,0.010358324,0.00562144,0.007092299,99.38401442307692,-132.89609,4805.5474,93.11621,1524.9934,-2.0770812,934.3513,25.414263,363.99768,1.5130227,453.73404,3.2834704,275.91937,14.220411,258.4621,8.8002615,169.33307,-1.3252254,181.53833,10.217167,155.53712,0.71692044,107.475235,5.655625,120.14668,-3.5978293,109.89938,6.18785,91.48106,4.401044,107.63114,7.2953014,90.77797,3.980255,80.24012,0.66011584,83.77115,-0.42235854,68.62347,-1.4293537,61.0907,hiphop
6,97_16 Typh x GONZO - Berlin 3AM _Official MV_,0.4581754,0.09173492,0.25642544,0.021093657,2093.8439190572385,950845.9038815167,2408.6512000124535,232505.66101562692,4561.184919138811,3697171.2825473626,0.07879449708542957,0.005456019027895631,0.000933357,0.03469359,0.0025487978,0.031106442,143.5546875,-79.32785,4677.0684,95.6078,1387.6378,8.62977,745.1331,24.350157,347.24265,3.41151,309.15112,9.066616,209.19237,-1.7960076,151.62718,9.71365,146.73955,-5.4973273,142.6771,9.819587,132.72035,0.69888055,120.29487,4.8456864,93.62544,-3.627422,90.80481,5.1787047,88.87928,4.417307,66.18205,3.1945076,67.47366,0.1415358,56.743492,2.5784903,55.891495,-1.8312813,53.477047,0.6917341,49.772644,hiphop
7,10_FASHION TÁN GÁI _BECK_STAGE CYPHER 2021_ - Wren Evans ft Low G,0.43154106,0.09946672,0.15847701,0.017556919,2436.1947138094324,1236545.3710671822,2671.7113547212375,223111.45535663047,5278.088917451746,4686707.358110418,0.09544178871178406,0.006056775876545559,0.009720134,0.01550855,0.0066667167,0.0149807595,129.19921875,-147.14626,7337.0645,77.69547,1715.655,22.112045,991.5607,25.322245,460.60663,11.021555,473.8405,8.297102,390.70905,0.31161734,225.75818,7.8170047,208.7374,-4.2975264,210.49734,6.590337,150.21735,-2.3462205,125.57091,6.946057,95.16912,-2.7841454,93.9226,5.151548,80.79482,1.0825585,73.68194,0.26844063,72.81321,-2.07592,66.727776,3.8453653,48.10245,-1.2190843,46.47541,1.6642768,52.751667,hiphop
8,32_Wxrdie - 40 ĐỘ _ft.  RPT Spidey_ _prod. 2pillz_,0.44255978,0.08679075,0.27698886,0.010292962,2015.562826800346,1191873.8668132892,2273.4172229353017,432743.3653985715,4316.665564380563,5295259.498095237,0.07266641622726393,0.005833362281863228,0.00016118171,0.052681204,0.00019506428,0.01861969,99.38401442307692,-79.17818,4885.774,111.62849,1843.4323,4.539172,880.8411,17.382725,550.92017,-3.4995284,404.36993,0.4462538,294.27304,15.806172,292.68405,4.098282,221.60077,-9.361914,198.69022,14.394275,163.0928,-4.8625064,113.89561,9.531576,122.63236,-3.6740353,125.149284,10.671947,91.038734,2.0678387,82.402466,3.3906178,64.571815,1.7302171,78.68058,-0.42894247,61.05816,-0.54263306,52.30164,-1.5122678,48.921593,hiphop
9,38_Quay Xe,0.41918352,0.08700113,0.21058631,0.008426957,2465.463347844634,1058800.3403368685,2454.293388491373,263784.8982338046,5116.19822971592,3471328.838415677,0.10036220491486068,0.005148374211868275,-4.7655394e-06,0.034016345,-7.675361e-05,0.010164507,129.19921875,-78.87764,3820.3027,83.13615,1363.119,-3.3352807,1143.3877,26.526196,801.3633,-4.659906,572.37933,-8.810538,474.45386,-11.585092,299.41287,-3.4287026,297.70502,-12.315417,260.16412,6.953231,177.9791,-10.216548,208.41559,0.9568665,143.24442,-10.841564,161.5756,-3.597511,120.45044,3.5840175,129.04791,-0.42843726,128.5535,-5.813704,93.484314,-0.024532756,109.542015,-1.9770414,81.741455,-4.2794037,79.44605,hiphop
