index,filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,26_NƠI TA CHỜ EM _OFFICIAL MV 4K_ _ WILL FT KAITY _ 1ST SINGLE - EM CHƯA 18 OST,0.41339177,0.093972094,0.12980086,0.016794654,1311.6690320091793,613059.2662399939,1808.0710657089899,615088.1627659268,2677.846307429736,4486227.656969953,0.04871909315741099,0.0010119407314918118,-0.0005239514,0.017420903,-0.0031390435,0.005563196,161.4990234375,-206.4075,12370.392,123.76066,1656.2982,30.030231,384.79495,19.451242,661.4151,5.7175765,288.45105,5.521553,206.04498,-5.458368,176.02393,0.81770897,248.90327,-6.0772123,92.040276,4.7675085,109.6591,-2.7686598,55.89563,2.6151462,44.339275,-0.5742815,52.579735,3.5006173,43.475838,1.9825239,42.673344,0.70144427,37.00115,-1.4698375,38.20666,0.97223693,32.427807,0.45821407,46.108448,1.0148467,49.22345,rb
1,16_Buông Đôi Tay Nhau Ra _ OFFICIAL MUSIC VIDEO _ Sơn Tùng M-TP,0.347877,0.09268948,0.28278837,0.013722579,1706.3073231195297,550657.3553259578,2219.29602928801,263253.962365848,3731.577435661765,3598217.7509519435,0.05994143648413313,0.0016814572927743372,7.271481e-05,0.047765523,0.00050653314,0.021929719,112.34714673913044,-83.46798,4810.839,115.49002,1118.2305,19.925829,469.17328,22.65287,278.27866,-4.0556707,191.43317,8.998143,172.59341,-1.0139208,144.20258,3.535248,111.438324,-5.9688663,119.028755,12.984334,144.63249,-6.153161,113.28147,2.3876722,88.24428,-7.842922,71.84913,1.6639061,84.90976,-3.0129066,74.38477,-0.27991393,96.07488,-2.5564551,67.92603,0.67003584,72.645134,-1.008946,98.457726,1.414502,93.73328,rb
2,7_Người lạ nơi cuối con đường - LK ft Justatee _ FULL MV_,0.38555613,0.085754536,0.2108556,0.0072611934,2300.833568683305,388441.1499088139,2612.5434945478373,97402.02122765327,5115.756565719935,1650684.5664392419,0.08801042775251548,0.002485271249787398,-3.9222963e-05,0.028887926,-0.00022987221,0.008596378,103.359375,-61.47811,2170.0547,86.321304,437.57053,2.088547,432.59665,13.6690855,245.29948,0.19038783,270.4084,2.320595,145.78723,-1.0055057,188.47572,1.7364806,110.44616,-5.5377746,199.7589,7.0024443,129.62573,1.6147289,124.94172,-2.465384,118.7492,-7.7422485,135.37212,4.6675215,81.41126,-1.543017,92.417465,-0.4074485,76.87256,0.0005898018,80.36223,2.0967853,73.134735,-4.4266906,81.37883,1.5267845,75.896225,rb
3,53_Lỡ Say Bye Là Bye,0.28320754,0.09212052,0.17569435,0.0043338076,1708.7023563434655,951132.7925830443,2069.231758960288,438901.1265472108,3307.1508354446837,4265730.565276178,0.06779267396720201,0.0030639618496276838,1.3892267e-06,0.02564431,-3.4986613e-05,0.005877028,143.5546875,-166.53624,5369.2275,107.43271,1889.7751,11.267873,679.3087,21.113321,431.8374,-0.2590265,226.30977,-11.697313,415.48874,-8.351064,232.00687,-24.836676,275.27612,-16.794153,234.84064,-16.17261,192.06976,-27.888554,346.86737,-12.879503,215.88252,-13.821465,149.23825,-5.0850544,145.85173,-6.3353424,174.74129,-9.793637,177.54749,-4.2724395,169.82735,-6.8706884,136.91443,-11.646752,178.34227,-3.6015277,139.24115,rb
4,37_Gọi Tên Em,0.2709949,0.08443981,0.22537841,0.0054132557,1985.2235118632577,436249.40920653817,2311.4408708566675,268299.6353390732,4139.712467725063,2470986.5985398116,0.0792236328125,0.0009557433633981474,6.461111e-05,0.042501725,0.00030607896,0.0047481568,123.046875,-73.21203,4498.5537,107.37292,964.48706,0.16253813,375.5905,18.803898,277.32178,-0.9057871,146.61702,-11.38399,175.28362,-11.737382,102.08404,-15.708126,141.44044,-7.2393985,134.79848,-4.2998013,106.870186,-16.143736,120.23018,-2.9593756,113.199,-14.110891,107.72708,-2.9994588,84.35853,-15.149889,117.541435,-3.8283496,75.12723,-11.320191,106.3861,-8.054075,63.91243,-8.928052,70.61146,-3.7342994,91.430176,rb
5,94_Bon Chu Lam,0.31318602,0.095934905,0.20532525,0.008032504,1956.6462024083028,634290.6767566944,2221.721039163677,134236.06438462136,4193.978806250605,2222959.9033936444,0.07768150305969428,0.0035627847174345985,7.58202e-05,0.032401066,0.00042380104,0.0058320835,107.666015625,-98.75299,3143.2197,98.31073,1108.073,3.1260927,380.56198,32.887627,325.08792,-0.27140266,237.0231,13.52086,216.85953,-8.195232,333.93494,3.603265,154.04642,-7.421959,143.8945,2.7492545,137.4184,-1.5519338,129.87411,-6.102468,87.08429,-3.287394,96.378105,-1.4078281,126.043465,-5.154606,119.61483,-1.2010615,157.11482,-8.029617,124.4441,-0.072647706,169.42393,-3.7620146,153.49101,1.3423866,122.77317,rb
6,70_Đại Minh Tinh,0.3165964,0.092961974,0.2034146,0.016755933,1310.3476808253445,467863.10016355425,1700.0011986899751,306165.77484624524,2476.2308599040975,2276795.733843651,0.05436304995888158,0.0018581681667359815,-2.6567998e-06,0.03060215,-0.00015931626,0.0106305545,112.34714673913044,-142.6161,8952.869,144.22015,1219.5657,-0.9095643,296.28662,14.394386,412.7384,8.361338,180.41228,3.0212772,156.98015,-0.8223486,141.52324,-2.105332,164.46268,-3.3938494,105.30568,5.212038,191.61401,-11.06538,121.49295,0.8050208,67.66703,-7.312552,99.09089,-0.5660773,85.95772,-5.015542,65.127525,-1.7319548,91.04149,-4.063015,107.946846,-0.53263783,80.35226,-1.5015284,81.770065,0.517566,94.36274,rb
7,93_Yêu Nắm,0.32310286,0.08813167,0.22113065,0.0027475243,1812.8941145734161,552347.9820602237,2325.292991922236,287049.810214615,3970.0009939471265,3706618.822961187,0.05300194707817337,0.000686150221774416,-7.301299e-05,0.03765824,9.367071e-05,0.006958371,129.19921875,-102.80758,2847.1257,113.77309,1085.5499,15.547386,528.808,22.252508,344.49585,2.7253587,309.84903,-4.0879664,342.10464,5.4669,186.72765,1.6485593,174.91518,-1.899849,136.97037,6.1916995,133.7947,-13.665786,154.53539,8.073883,113.42647,1.1108383,167.45297,5.478106,104.01561,-0.43217918,120.38073,-0.8685042,100.534004,-4.894689,107.73753,5.6072116,98.00498,1.9676198,86.8819,1.3035766,85.77288,rb
8,41_Răng Khôn,0.27211344,0.0852974,0.1676299,0.0077423276,1875.6719451213623,873283.9603436486,2287.6904372803583,533963.2568321563,4149.691574049439,5503886.388691634,0.06991265358939629,0.002391225527535106,-2.381554e-06,0.02377036,-8.555672e-06,0.004529346,83.35433467741936,-144.71721,7732.4907,115.9018,1602.7871,29.945724,431.5994,10.456297,389.58896,-2.5964315,217.24608,0.26640844,299.15955,-14.776497,147.1251,-6.9985557,180.83789,-11.4122305,137.58421,-8.10734,175.03142,-15.973104,132.12152,-5.7846413,151.634,-13.612516,134.14365,0.98490846,128.7049,-10.09643,131.72295,0.8974745,143.52437,-1.7972138,134.29393,1.9398855,110.2969,-3.6674256,107.3744,-1.1395991,115.24584,rb
9,52_TA CON YEU NHAU,0.34655225,0.093372464,0.1050736,0.0031035559,1542.4170287228942,974499.040925288,1952.3042954025073,282975.50197141164,3085.014678671633,3604666.136577808,0.053903491135352165,0.002280285406177972,0.00457083,0.011132676,6.4519895e-06,0.00081458647,135.99917763157896,-222.54552,5829.821,113.7549,3223.8394,15.367872,629.78046,41.208973,387.6808,13.730376,483.5266,13.4804535,244.9601,1.1114748,146.62253,5.7930694,140.33322,-6.7914834,153.34387,1.7394623,112.30764,-12.208077,168.26912,2.4673502,96.68503,-3.78325,109.28083,-4.551906,139.31122,-7.9709435,90.4357,-4.029321,87.928406,-6.8145785,126.412674,-2.3710148,108.17758,-4.2404304,86.73847,-3.8567035,116.15282,rb
