index,filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,19_Trường Sơn Đông Trường Sơn Tây - Tuyệt Đỉnh Song Ca Từ Như Tài _ Ngọc Liên,0.29757237,0.09010513,0.18768606,0.0068598096,2531.7617323308837,764156.1389609352,2631.987968108224,271642.24487114773,5483.396009321184,3583775.225182399,0.10471327459849071,0.0028195842722194926,0.00016548345,0.024134971,-0.00021883163,0.008705515,117.45383522727273,-95.55541,3507.8665,77.13462,1124.8525,13.555389,661.1443,27.550667,327.17584,2.222801,352.98605,1.5410672,280.61246,10.221974,199.86792,3.7273033,150.87123,-8.361714,139.3878,2.936891,159.2552,-9.595903,130.88911,7.2728963,137.47466,3.599502,188.45935,1.9127707,151.03171,-8.070085,130.30197,-3.1639419,144.10168,-7.2765493,115.18358,-0.28424305,107.1369,-3.7213314,99.35269,-1.7618893,110.886,red
1,52_NSƯT Tạ Minh Tâm  - Đất Nước Trọn Niềm Vui _Official MV_,0.344361,0.08828679,0.18106768,0.004245644,2501.0945398599115,480655.85235001135,2553.0844315381905,184011.64627912885,5221.443426645947,2156893.406917441,0.11486325101586688,0.0034741937595984228,4.512913e-06,0.015486148,3.0737592e-05,0.011513129,135.99917763157896,-70.0316,3346.0835,78.24824,684.51996,2.8005126,584.8867,37.69573,266.9189,9.999374,307.28024,1.4972328,232.70804,4.193623,108.39197,10.479538,103.61537,-9.659946,126.43276,-0.96195376,79.05269,0.5848998,86.83595,-0.78688926,71.36036,-2.8846574,84.59028,0.9694605,73.12603,-2.954848,72.20453,-0.3356752,54.432117,-2.5968952,71.1481,-1.3869103,50.921894,-2.1435456,57.108353,-0.0033981276,65.94961,red
2,74_Hội Nghị Diên Hồng - Nhạc_ Lưu Hữu Phước - Tốp Ca _Official MV_,0.33333954,0.08641646,0.14279655,0.0009731603,1599.5240916495025,141077.82975423255,1766.994097066144,123264.9434719614,3164.943362020487,560427.325224087,0.08462892892559984,0.0012216894915962392,-3.290043e-06,0.014498167,-5.8140024e-05,0.0019057944,172.265625,-118.92886,2191.9565,130.44614,649.9675,-24.600313,607.3496,43.44698,281.4956,-5.807416,184.05675,5.954294,168.02983,-3.011611,178.67047,14.394722,116.4741,-11.734665,144.13301,-1.89071,83.034546,1.1016052,114.79811,1.2221302,87.97581,-6.3044834,82.959274,2.4881523,62.128143,-4.307506,100.6305,-3.029069,103.056335,-5.178914,88.33181,-0.14832847,77.821724,-3.4231954,87.82242,-4.330419,83.039314,red
3,95_TỔ QUỐC GỌI TÊN MÌNH - TIẾN HƯNG,0.28101844,0.091373526,0.16341572,0.007675851,1591.3264449725332,623550.4104575918,1873.6900072674212,180757.98924132553,3018.590080332092,2004179.2626949884,0.07080626118662926,0.0043511736387933,-0.00026894826,0.02757214,-0.00046208836,0.0030516337,198.76802884615384,-169.27359,6030.175,128.271,1138.3407,-3.5136843,672.30444,18.104753,422.54706,10.8911295,643.2013,-10.730183,408.0769,-7.031289,328.86047,16.002974,190.5843,-28.336107,493.1202,0.32159898,232.04257,-2.4988084,133.14987,-6.23941,132.39627,-2.9503968,142.07137,6.248685,139.84714,-12.038973,224.51231,-1.0429198,99.48581,-3.9360805,95.48547,-10.08831,103.50504,0.53593856,93.610886,-2.6568823,98.78979,red
4,2_Co Gai Vot Chong,0.25030777,0.08989433,0.16673584,0.003392156,1585.358520961975,248878.81612992997,1971.61863959729,144302.1363011678,3167.8266779188034,1572704.2122929366,0.07049371583542957,0.0007726814988873976,1.058612e-06,0.024992837,1.0753503e-05,0.00212502,117.45383522727273,-153.41782,2731.5835,119.48678,514.0445,10.225929,333.2873,26.948366,340.75156,2.9663222,175.37782,-2.8817558,213.49785,0.48381585,200.85371,-3.4789915,144.95065,-10.875468,138.75592,6.0446625,154.63281,-10.079542,320.76498,9.764263,212.16241,-2.1097558,167.24075,-3.9584923,242.90558,-2.56815,290.4836,9.236104,201.32059,2.277524,190.0349,0.4097961,121.34046,-6.313853,234.90964,7.3579903,238.17406,red
5,53_Đường Bốn Mùa Xuân - Thùy Linh ft Minh Đức,0.295,0.091648966,0.2659846,0.007770714,1775.755931108564,546077.7034526892,2127.0740540505285,272282.69845028734,3811.068621656105,3020321.3045473504,0.07867318262625773,0.0022210947602773336,1.3120064e-05,0.054547407,0.00014825146,0.008700045,86.1328125,-76.54103,3270.852,117.80065,1293.58,3.1483865,500.66446,23.9718,223.99338,-0.49381194,225.4012,6.2374296,178.24211,0.5889473,172.08682,5.6799965,112.44701,-8.100271,109.3137,2.9164608,121.44731,-10.50009,134.42435,1.4862605,106.67789,-3.7593148,94.8346,1.385322,89.51902,-8.4077,100.65128,-3.0184796,77.50631,-7.5015645,72.02387,-3.6748688,100.05009,-4.8386593,91.51612,-0.96678895,107.34392,red
6,88_Siêu Phẩm Cô Gái Pakô - Lê Ngọc Thúy __ Giọng Hát Cao Vút Trời Mây Cực Hay,0.21220174,0.09244098,0.2839683,0.007097814,2382.2549552514365,827487.5897006114,2538.768279900639,240973.89261886073,5091.244213942773,4479903.462428958,0.09235866298616487,0.0028936996215675535,-1.1673623e-05,0.0615215,4.2688767e-05,0.013962372,161.4990234375,-83.93414,2861.199,77.24165,1340.8275,-0.8044736,540.07166,2.6810362,367.9174,-5.823398,305.29327,-6.2934074,390.83536,-4.86309,281.0812,-4.246557,212.01013,-12.440902,168.56352,1.8376374,200.10321,-9.6449,179.72374,7.8981857,214.98698,0.17684455,208.64406,8.564303,220.03831,5.7913136,287.4327,7.907725,223.16621,-0.20040397,189.30336,0.11399194,184.51497,-10.280934,222.30551,3.9102912,168.33188,red
7,61_Lá Xanh - Vũ Dậu _Thu thanh trước 1975_ _ Official Lyric Video by Hà Nội Vi Vu,0.24849486,0.09290113,0.1706122,0.006777502,1730.4567399813434,168368.80637205153,1685.2970037285697,76757.28806350438,3261.8927757806455,723875.412549443,0.09073471211058437,0.0008367908614294744,0.005583717,0.022014473,0.0010704523,0.005392783,135.99917763157896,-122.385216,2909.8933,121.24058,714.5448,-41.867577,331.50964,19.843294,238.18456,-13.323224,288.82272,-4.53446,133.64133,10.512777,191.08379,-2.7233026,70.43122,-10.439858,85.54074,5.300314,100.8046,-21.345015,126.63994,0.074961044,75.839035,-1.4906441,217.70432,0.49359968,227.04448,3.353354,156.6648,1.8214204,150.9238,-1.962679,235.43233,5.3237114,128.42651,4.5832915,123.79654,8.275749,175.86995,red
8,76_BƯỚC CHÂN TRÊN DÃY TRƯỜNG SƠN _ Vũ Thắng Lợi __,0.298418,0.08794189,0.05749105,0.0007502922,1760.5572912822274,225749.942679339,1761.479888004728,90727.89513467578,3307.8008315142465,726712.6232368894,0.09540985390866873,0.0015457239164849634,-0.0001001655,0.0026958627,-0.00019839768,0.0004609782,117.45383522727273,-200.77567,3860.1262,123.938324,643.2437,-38.113644,324.2333,26.148752,80.87693,-8.949604,151.47383,-8.906527,127.33569,-9.104689,97.02954,-1.2202808,63.631348,-18.558346,147.7028,-1.3731159,79.00366,-10.411867,63.476192,-6.407777,75.46377,-5.63309,54.720695,-4.530045,44.18723,-9.714376,51.235584,-2.0918317,49.43036,-7.3786283,50.694855,-1.92457,55.593422,-5.2587056,52.31288,-7.0063,62.39018,red
9,22_Tiếng Hát Giữa Rừng Pác Bó,0.21280411,0.08566525,0.17183514,0.012811688,1935.0699532470626,502866.58907603164,2076.0815493228115,335488.3626087018,4013.0590669141834,3134333.0399525603,0.09505724833107586,0.0016826572822326313,-2.691459e-05,0.036346506,-2.5132194e-05,0.0020246967,135.99917763157896,-153.94421,5804.363,102.36276,885.9013,1.3152124,721.6285,25.241375,369.80182,-8.859213,184.06563,-8.707876,256.6977,1.048141,214.2579,-9.320672,105.31477,-17.399105,138.87947,-0.08162649,250.68568,-18.164227,436.00165,0.20775875,314.25208,-0.061099026,207.29013,-2.5567608,264.50916,-1.6016955,154.43684,3.8758938,215.23242,-4.950868,177.65343,-0.30255458,149.2088,-10.857051,163.22356,2.3527315,235.27637,red
