index,filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,85_NGƯỜI CÔ ĐƠN - DA VÀNG BAND,0.35468355,0.09977414,0.0975433,0.009198506,1850.1175251098937,1748517.030404941,1988.9126815020097,540114.5691317703,3385.7670267299973,6917955.708644019,0.08975248071062307,0.0076421778561787754,-6.209719e-06,0.012326836,-2.5848758e-06,0.0019287497,103.359375,-257.52255,28107.54,84.52808,2279.1875,36.748764,701.36536,36.69069,200.96968,9.0885515,144.7534,8.996109,152.84468,3.3846564,79.631,-0.5347389,59.366596,-0.20650002,95.03477,-0.055833302,60.69301,-1.914408,63.53498,2.333773,155.8314,-0.6404504,70.76194,2.9239855,96.53117,1.2384809,51.58595,1.955132,72.63459,-1.1877164,69.7877,-1.9226025,54.71747,-2.0547047,45.468563,-0.50729704,50.317856,rock
1,41_Co_ Ai Kho_ng,0.2742166,0.089102276,0.06253347,0.0011824688,1476.016814191127,1265407.1019484457,1886.809191285826,886401.310288025,3127.493588474144,7551790.5693065785,0.05482582115905573,0.0029271697700734936,-2.3225394e-07,0.004132667,-7.4660957e-06,0.0003907075,129.19921875,-299.36502,13215.341,130.94658,2857.2498,30.144588,468.47495,6.74768,200.26396,12.782513,218.05452,1.2573574,171.79787,-3.6968644,186.55962,-0.5657179,158.98248,-10.757982,126.47475,-3.7002392,270.1275,-13.753191,108.16489,1.1110946,105.7675,-6.409625,129.9717,-4.2211866,81.39373,-7.0590715,75.04532,-8.941674,83.40435,-14.00907,73.88653,-3.859214,97.44979,-11.822893,85.05996,-8.2082615,76.52485,rock
2,80_Giấy Gấp - Vì Sao Em Không Đến Với Tôi Ngay Lúc Này,0.38194835,0.087900706,0.15081283,0.0026642676,1622.2847732033538,384211.6512850317,2048.585313378425,194181.38033303755,3268.73440107694,2025442.2197645765,0.058991328850619196,0.0012986035202967965,-3.342649e-06,0.01589985,-1.2481639e-06,0.003839236,92.28515625,-132.18289,8275.449,116.27358,1004.6337,-1.6691855,595.2685,32.681705,275.5759,12.132852,237.41022,6.0107255,122.34036,5.636651,103.66826,9.246146,77.28179,0.26251364,112.289085,11.7810335,77.99739,1.9248247,73.24984,7.2666388,67.62275,0.054192416,69.08907,1.6804389,69.172295,-3.5222363,54.9725,1.8473053,57.423515,-4.5119343,43.688396,-1.81364,43.20732,-3.5536005,42.36697,1.4583911,50.428722,rock
3,20_Em Đéo Biết Nữa Anh Ơi,0.4148463,0.08233726,0.29539874,0.006699456,2411.4825461758614,255900.78531159594,2388.762952447753,44416.73750284321,4827.148953212781,719209.3575482976,0.11467345505617978,0.0040342506407728225,-2.7322816e-05,0.052399483,-0.0011761525,0.015860649,117.45383522727273,-4.2251253,8334.209,79.31141,576.59045,-19.495085,206.00386,33.50806,113.2896,8.278468,137.72685,12.928905,110.467476,1.7571554,59.20712,10.713708,49.95658,4.4093933,64.69261,16.989834,69.315506,2.555072,65.56651,5.5720525,49.965416,-0.78230536,42.7501,0.3076704,43.86877,-2.6277857,43.48718,2.2253194,47.93639,-6.283685,44.44203,2.6815138,46.48442,-2.8007746,46.62644,-0.9073749,57.77043,rock
4,124_Trên Những Đám Mây,0.42639148,0.08647429,0.1299728,0.0016049846,1946.357799104676,463584.85771970963,2478.045313797284,173301.56719149722,4478.160421176592,2760126.1810597987,0.06010999177631579,0.0014789816182114624,1.5012091e-06,0.010847356,1.2514789e-05,0.0030196754,112.34714673913044,-138.23843,3981.4187,98.993225,838.39496,14.434132,292.47495,29.42636,225.45946,19.436625,112.010994,13.487362,117.16664,-0.37473577,119.062065,12.548768,81.53125,0.9660258,65.12934,8.454769,81.25897,2.289237,43.90562,3.0130336,52.95883,-1.2047021,59.69986,0.6727666,43.95829,-1.1989623,52.376015,0.35494787,50.911045,-0.59166384,46.939278,3.6415555,46.538258,-2.6525276,51.95015,1.109529,53.8739,rock
5,98_Là Tất Cả,0.42829478,0.08312413,0.19799098,0.0088665085,2122.049729639913,280086.4496202988,2081.090226020801,132719.83790649078,4101.879363163337,1328296.8585142016,0.10933626251693111,0.0011682605168080466,-2.698985e-07,0.027616931,0.00011726795,0.0075485846,95.703125,-51.224083,8761.339,101.92849,999.6981,-30.196966,250.36972,29.044369,219.86168,-3.0182412,161.5936,6.6071825,133.51746,-3.0799239,99.78317,6.5025883,98.147285,-0.6370225,156.69832,9.389658,60.89123,-0.43793088,41.55113,1.9735665,61.27072,1.403113,59.331764,-0.4137679,43.80511,-1.145955,41.866592,2.0319881,42.265965,-4.4481263,43.696514,4.959962,52.43865,-1.4389155,48.793972,1.2832686,40.31713,rock
6,76_Lý Bực - Kiềm Trớ _Official Music Video_,0.38464847,0.08575961,0.3288889,0.0017581166,1990.2437238849948,265358.82030407316,2490.920898191859,140028.892910432,4674.096736376499,1883263.125026094,0.06491022730021284,0.0004942142616493125,-9.633838e-06,0.0710221,-0.00071641087,0.012844177,135.99917763157896,-11.281928,1298.9772,104.687164,417.3248,10.481407,177.07552,23.595833,117.27455,4.1385527,97.64868,14.131663,52.812683,6.1579485,50.837444,9.733604,62.879425,0.8376712,57.314957,10.170746,43.91675,-2.471329,42.11036,9.517346,56.470055,-3.2956722,37.20822,3.815396,45.721176,-2.386021,42.23134,1.8783453,37.17418,-3.2422307,35.342205,0.28230986,32.383778,-5.712911,50.724396,3.6125863,53.70153,rock
7,111_Cao Nguyên Đá _Version 2_,0.35111457,0.09026367,0.233212,0.0032666253,2013.2519132622651,208855.95456617945,2260.0525867939486,125037.92837575893,4282.93660166832,1132668.2544001648,0.0831552038989938,0.000776373800393929,8.927307e-07,0.03566767,0.00028361444,0.008779751,112.34714673913044,-38.806454,1673.4042,101.13583,580.86835,-9.284609,210.93759,36.713615,115.55915,4.936098,96.0842,6.303342,74.49278,-1.4971768,79.71416,10.157065,60.814068,0.83835775,66.90042,5.545052,58.200344,0.12020208,64.328064,-1.8197263,46.770145,-8.393087,56.979725,-0.6959819,61.802277,-2.6426039,43.39606,2.6031163,47.00597,-10.685766,61.78428,-6.7371597,74.27068,-2.0347376,63.797146,0.035757437,55.6964,rock
8,103_Đi Chơi Show,0.37526536,0.08440142,0.21562679,0.0019108485,2167.81063238719,157399.9432493919,2308.1209416038396,77902.5183309244,4692.875789488801,802810.1833477035,0.09243103594233747,0.0005139488328755411,-2.380818e-06,0.02598994,2.8909171e-05,0.008821704,95.703125,-26.891006,1339.1494,98.08775,406.19583,-12.547867,202.72302,26.491005,152.12491,-9.999989,133.7221,12.055178,100.07537,-4.67153,95.03982,5.234489,50.20682,-4.475894,61.663555,4.376516,75.01011,-4.911409,43.759514,3.7907186,49.40212,0.37545657,40.604797,-1.1031764,42.39123,-3.107302,38.85628,0.37338012,34.046432,-4.3366337,42.716343,1.3342962,41.72845,-6.688051,40.175884,0.57348204,44.202793,rock
9,86_Ngày Tháng Có Mang Em Về _ Black Of Panic _ OFFICIAL LYRICS VIDEO,0.35693794,0.08777992,0.24994993,0.003405969,2205.1443860232594,488750.7760298002,2324.7491062108875,170987.06431401515,4687.3383229731035,1946990.698278263,0.09982800557517414,0.0022093303937090274,-2.6694815e-06,0.03878964,-0.00034318466,0.011264356,86.1328125,-37.53354,2767.3694,94.13971,1073.4934,-0.7919563,325.8527,41.649258,224.76997,1.6546208,215.0029,5.6347284,102.6146,-0.9652521,125.02267,9.657092,124.60723,-5.8933964,114.262726,9.092215,88.015045,2.256284,78.5752,3.6017885,81.86946,3.8434298,80.42128,-3.9902086,64.751785,-7.732541,84.77943,-0.83676475,67.743706,-10.3373165,61.611042,-4.3965545,70.43247,0.27502993,97.59249,-1.0040357,88.2713,rock
10,120_Thợ Săn Bóng Đêm,0.21901497,0.08995578,0.14892711,0.0034269686,1264.8623029739936,219572.75742451998,1503.8462773571362,174578.1096537074,2343.7108279012673,1004014.4734508547,0.057445230867840556,0.0007389209521318531,3.3389456e-06,0.023082882,2.085475e-06,0.0007824566,151.99908088235293,-202.23111,3041.8564,136.56665,1269.6095,-22.380848,299.54764,10.598325,346.50845,-7.6096563,213.62592,-24.99684,221.08817,-23.717829,176.72685,-15.491573,172.50154,-10.345595,200.89525,-11.470815,165.01752,-21.544802,144.03131,-10.792875,155.99739,-9.530643,140.11348,-6.878755,151.04327,-13.768389,139.45192,-9.617277,133.04184,-6.2452374,97.07117,-6.4699383,155.44688,9.678411,210.0678,-3.2756133,201.32529,rock
11,42_Alright,0.3148172,0.09600575,0.06553545,0.0007651559,1211.660757082995,486998.701375941,1967.3890553616675,347522.0718022493,2399.2396587926905,3826061.696277253,0.03348335762142028,0.0008157995354248963,1.9797753e-06,0.004599651,-2.9896664e-06,0.00012503962,123.046875,-308.5432,5562.3154,131.06258,1068.9814,39.24674,324.07333,22.97427,203.64894,16.12174,225.63066,13.90755,225.58044,-2.5769122,197.62698,4.611433,145.78313,-2.3003104,200.44952,7.7649183,153.14162,1.925802,129.34721,8.329116,133.61063,-0.05483154,137.42754,2.4998126,110.868034,9.915529,82.364296,0.3255705,98.39311,-12.647724,92.16989,3.0769553,87.538666,3.2300055,190.88454,-8.37124,109.65528,rock
12,64_MICROWAVE _ QUÊN _OFFICIAL M_V_,0.37608224,0.08738109,0.12839347,0.0011152476,1856.1259203388797,409096.22014631337,2290.462496894239,197876.83397234083,4200.924597583688,2168149.4664143263,0.06720915519785217,0.0015508333372172686,-4.2111456e-06,0.010485516,-3.7207148e-05,0.0025966964,83.35433467741936,-124.62423,3342.1245,108.20126,905.8185,8.108921,257.65567,38.405777,149.73277,9.860192,121.53478,13.925482,104.8851,-0.112664826,73.35919,9.966389,68.91428,-3.2367704,67.705414,7.6397243,77.431786,1.9370992,60.193226,4.255576,43.465363,0.8687255,35.606613,2.4878936,48.193317,-0.43960845,38.056377,2.1655087,39.65004,-5.942737,50.855663,0.23218137,37.767323,-3.4434395,68.95491,-2.1831725,65.79297,rock
13,67_MicroWave   Bao Dem,0.34001514,0.088817745,0.19287741,0.0025163346,1868.5911017933172,579623.7424282121,2146.8505323139834,187525.96003691835,3913.238837180123,2498681.185274712,0.07962215647977941,0.0024154780158154665,8.0655656e-07,0.024277437,-9.167587e-05,0.0056555825,161.4990234375,-84.207985,4228.552,110.12035,1374.513,1.9510704,533.73444,36.866634,197.99852,5.412482,167.66734,15.696743,171.1616,0.9835578,124.249405,4.9439673,77.31522,-8.096132,136.12228,5.0062304,129.04475,-7.913648,56.60763,7.582025,76.832985,1.1001928,66.33156,1.8671407,47.58136,-0.6512658,67.96973,1.838272,69.332,-4.6448245,55.182095,3.1392255,63.540424,-2.052926,50.46124,-2.2332733,58.41515,rock
14,22_Wave Alpha,0.40019193,0.07914014,0.2852101,0.0020978753,2515.976227629745,113077.3175169457,2518.877442904869,43942.267097250835,5157.539646396696,718124.9519552614,0.12102723490712074,0.0009672381606204962,-3.0878457e-06,0.042316582,-0.00037450177,0.015614653,95.703125,20.523087,479.2356,79.39029,175.62302,-14.675633,214.9366,27.32997,169.16563,5.9763465,88.76847,4.4555764,93.899,4.147993,73.65272,6.115826,58.728184,-2.4863594,74.386406,12.772637,73.8472,-0.8421853,43.287056,-1.2000829,51.439804,0.9548388,46.16705,-2.017801,39.31024,-3.3331912,38.085857,2.7900586,42.07244,-4.32701,44.456753,3.0874758,39.316357,-2.7543156,38.365253,-1.1771371,41.476498,rock
